"studentId","firstName","lastName","DOB","class","score"
"1","bhwmhze","watixiz","2007-03-10","Class2","81"
"2","ukibryqd","exysh","2007-05-07","Class5","82"
"3","zhfi","tdof","2008-11-16","Class2","65"
"4","ubeaqp","uxmth","2002-02-22","Class5","69"
"5","maa","dfl","2006-05-07","Class5","75"
"6","vgzflgjw","joxfuga","2008-07-27","Class2","79"
"7","kskd","yidiprbw","2004-04-29","Class5","80"
"8","kxcq","ltbu","2001-01-08","Class2","72"
"9","vyet","nvgwu","2006-01-06","Class1","78"
"10","wyoovff","xxuv","2007-11-14","Class3","80"
"11","dsezv","tlx","2002-07-10","Class2","83"
"12","snkqpigr","xrlmaov","2002-02-26","Class1","71"
"13","pmigg","sglf","2008-10-10","Class5","77"
"14","suuqjjck","fugmbub","2009-02-16","Class3","79"
"15","yet","bze","2002-04-11","Class4","72"
"16","vzjgctd","epzfym","2000-06-26","Class1","75"
"17","njquoqt","rgkfqf","2009-07-10","Class4","79"
"18","hnbc","atio","2000-01-08","Class4","74"
"19","jitokyn","jkmacg","2009-11-15","Class1","77"
"20","ggy","fwlwgy","2002-07-08","Class4","72"
"21","dah","bnecfa","2005-11-16","Class1","81"
"22","jarmtkhd","xzmgwia","2004-07-28","Class5","81"
"23","qai","qrppp","2008-02-07","Class4","85"
"24","orqksp","xbgvc","2009-10-22","Class1","69"
"25","nlkglc","mptftg","2006-05-25","Class3","85"
"26","nvrwstx","oxigpsjx","2001-08-31","Class1","82"
"27","tzmspiu","shqae","2005-06-02","Class3","83"
"28","pyae","tgi","2008-11-07","Class4","68"
"29","ictdjwxv","bfli","2004-05-13","Class1","81"
"30","snqlzkq","uzwagj","2004-12-16","Class5","67"
"31","cqnrww","jqs","2008-11-30","Class1","67"
"32","apfxh","fcdbognp","2003-01-04","Class2","78"
"33","wanm","obwccon","2009-05-03","Class3","67"
"34","hrmeua","ycsjjlt","2006-01-04","Class5","68"
"35","xxiopdu","cicdwra","2002-11-12","Class3","74"
"36","wqaxqb","khl","2008-07-03","Class1","65"
"37","ugxgme","ltkkzny","2006-02-12","Class3","71"
"38","gimeqt","apkxqx","2002-06-19","Class1","70"
"39","ccidkz","gpyecd","2001-06-18","Class2","83"
"40","nnyas","rphoio","2004-01-14","Class2","77"
"41","zmcp","jnpg","2004-06-26","Class3","69"
"42","lizm","qeoyya","2005-11-15","Class2","84"
"43","blenq","cdcpwid","2005-03-06","Class1","67"
"44","qhwldzl","hlg","2004-11-25","Class5","81"
"45","bwr","vikwkm","2001-09-11","Class4","79"
"46","hyvoqoj","blw","2007-03-01","Class1","69"
"47","dte","vtlzznc","2005-08-25","Class3","67"
"48","whsb","vgcklv","2003-12-14","Class1","72"
"49","lpz","ueykk","2009-08-01","Class4","69"
"50","bwxcwrc","utlpyi","2003-05-10","Class3","85"
"51","qzvivw","rjvfq","2006-03-01","Class4","77"
"52","skktgi","pgdeld","2004-12-16","Class1","80"
"53","wnvcvs","hrzbrrb","2010-10-15","Class1","71"
